,TwonHalfDecade,constituentid_x,counts
243,1525,278,1
245,1525,296,1
247,1525,358,1
248,1525,367,1
249,1525,394,1
250,1525,398,1
251,1525,402,1
258,1525,463,1
260,1525,501,1
265,1525,594,1
267,1525,672,1
269,1525,960,1
271,1525,1010,1
228,1525,46,1
227,1525,37,1
224,1500,37005,1
212,1500,23321,1
194,1500,2719,1
198,1500,10026,1
199,1500,10730,1
200,1500,12466,1
201,1500,13179,1
207,1500,18314,1
209,1500,22720,1
210,1500,23025,1
211,1500,23172,1
213,1500,23749,1
223,1500,36526,1
214,1500,26820,1
215,1500,27063,1
216,1500,30958,1
217,1500,31188,1
218,1500,34346,1
219,1500,34710,1
220,1500,35270,1
221,1500,35307,1
222,1500,36157,1
272,1525,1011,1
273,1525,1235,1
276,1525,1301,1
335,1550,333,1
323,1550,115,1
325,1550,190,1
327,1550,199,1
328,1550,217,1
329,1550,229,1
330,1550,254,1
332,1550,278,1
333,1550,296,1
334,1550,328,1
336,1550,356,1
320,1550,62,1
341,1550,446,1
346,1550,558,1
347,1550,584,1
349,1550,889,1
353,1550,1274,1
356,1550,1303,1
357,1550,1305,1
358,1550,1513,1
359,1550,1528,1
321,1550,106,1
319,1550,58,1
280,1525,1829,1
298,1525,27042,1
282,1525,4475,1
283,1525,7188,1
288,1525,12466,1
290,1525,14034,1
292,1525,17142,1
294,1525,18302,1
295,1525,23655,1
296,1525,24254,1
297,1525,26867,1
299,1525,27063,1
315,1550,28,1
301,1525,30413,1
